Step,PhaseError
0,0.07548754568367369
1,0.006289966413472264
2,0.06218122168800924
3,0.0805000404387462
4,0.06386428589053492
5,0.028158704133259965
6,0.0035694295864413528
7,0.009950056910194544
8,0.02051115168468881
9,0.08500721349501039
10,0.16746773984379382
11,0.24466402226361558
12,0.2950494944098879
13,0.3069589404445657
14,0.2830347526821379
15,0.23918967475184424
16,0.19850233742426746
17,0.18237738884878876
18,0.20234684612449114
19,0.2556443632027696
20,0.32624297679361414
21,0.39096002119728746
22,0.42829740853637477
23,0.426640645845687
24,0.38868489256682925
25,0.3303974954912767
26,0.2749133091218548
27,0.24369460404945473
28,0.24833219114314542
29,0.28611945744931266
30,0.34108987638740074
31,0.3901216840942184
32,0.4117779193329849
33,0.39450519937304596
34,0.3410595363390103
35,0.2674686320248453
36,0.1969269600905017
37,0.15095543917782678
38,0.1412023256723953
39,0.165017022920226
40,0.2064873703815711
41,0.24254410544609128
42,0.25180069617224055
43,0.2227519181743899
44,0.1581994809417773
45,0.07421414233477797
46,0.0059693791122976125
47,0.06079288987463344
48,0.07857397575322236
49,0.061932327434653045
50,0.026752573280279426
51,0.004905429683095569
52,0.011519541079174217
53,0.018654166459202426
54,0.08317577747508491
55,0.1663176047927044
56,0.24503640113029174
57,0.29774066841181046
58,0.31250438648322515
59,0.29158992820799706
60,0.25055268904899886
61,0.21226955542003575
62,0.1981722519320815
63,0.22003424323747375
64,0.2754484210088408
65,0.3487230455694574
66,0.4168538156375254
67,0.4582910239356539
68,0.46115312097775196
69,0.4277494546589285
70,0.3736847144482278
71,0.32188720519904024
72,0.2938419914700554
73,0.30137758886086063
74,0.34214343372973555
75,0.4005056016677713
76,0.45351864907250505
77,0.4796925364728317
78,0.46720595683412497
79,0.41842883739850084
80,0.34902654479834533
81,0.2819879194014767
82,0.23885818072587484
83,0.23152538137093026
84,0.25769764176969323
85,0.3017986370635497
86,0.34093921135653665
87,0.35368407889817877
88,0.328264936300475
89,0.2671027551967695
90,0.18591178590617033
91,0.10772739885691573
92,0.05413880636799326
93,0.03707534296068288
94,0.05428353718969839
95,0.09022244693833292
96,0.12203513403303216
97,0.12831523827737573
98,0.09731997551288973
99,0.031492329564949934
100,0.053435030965093916
101,0.13441198396532816
102,0.18983829025004206
103,0.20777735676642387
104,0.19047919340975814
105,0.15348509138967292
106,0.11965614723809051
107,0.11040667236434387
108,0.13749116361479635
109,0.19848206510254976
110,0.277665790528537
111,0.3520148791380434
112,0.39995524272369326
113,0.4095798256264237
114,0.3831714449803305
115,0.3363073396039752
116,0.2918875521397945
117,0.27136818490695747
118,0.2865482055316073
119,0.3350470332709688
120,0.4012003759452579
121,0.4620321913530891
122,0.4960217313491741
123,0.4913169913366953
124,0.45025733325101286
125,0.3884778112947311
126,0.3289373259064555
127,0.29315164732907895
128,0.29297998575824463
129,0.32610233991681525
130,0.37691509490756947
131,0.42250274416335737
132,0.44140469461857024
133,0.4218284787971595
134,0.3661721428307934
135,0.2901283405944743
136,0.21671226035597246
137,0.1674944262020293
138,0.1543870520986847
139,0.17512118128434706
140,0.21414208267337775
141,0.2485807798844445
142,0.2570206727788783
143,0.22771057592897942
144,0.16308694371506122
145,0.07887781288153245
146,0.0018694104534182632
147,0.05755527652047798
148,0.07624205199506243
149,0.060176681317217096
150,0.024895477160332802
151,0.0067473359084282425
152,0.01334618474809629
153,0.016842857406041745
154,0.081379874491746
155,0.16453717872513807
156,0.24327152221354695
157,0.2959914062672666
158,0.3107708101158471
159,0.2898721060036121
160,0.24885068877159466
161,0.21058344420908148
162,0.19650209629987148
163,0.21838010906649857
164,0.27381037354918525
165,0.34710114943622633
166,0.41524813480829714
167,0.45670162174796003
168,0.45958006012658037
169,0.4261927971942491
170,0.37214452177254137
171,0.32036353806494944
172,0.2923349099778617
173,0.29988715245618836
174,0.34066970120118334
175,0.39904863114459366
176,0.45207849802232175
177,0.4782692616993641
178,0.4657996144749572
179,0.417039482922865
180,0.3476542330049294
181,0.2806327044162567
182,0.23752011599997302
183,0.23020451967850164
184,0.2563940352058407
185,0.3005123370422698
186,0.3396702686086941
187,0.3524325434695085
188,0.3270308575496103
189,0.26588618179329465
190,0.18471276582869708
191,0.10654597939118471
192,0.05297503410500248
193,0.035929263794844846
194,0.053155196317026754
195,0.08911188885466051
196,0.12094240253225896
197,0.12724037644974448
198,0.09626302574328882
199,0.03045333353124141
200,0.05445603229372231
201,0.13541495032998402
202,0.19082318210372307
203,0.20874413527558217
204,0.19142782045583673
205,0.15441552957060445
206,0.12056835986977238
207,0.11130062348208086
208,0.13836681797471645
209,0.19933938818299518
210,0.2785047485314284
211,0.3528354389902189
212,0.40075737207821804
213,0.4103634928638718
214,0.3839366192100335
215,0.33705399066523983
216,0.29261565060308886
217,0.27207770207506843
218,0.28723911344076947
219,0.33571930469196737
220,0.40185398438450576
221,0.46266711105367647
222,0.49663793729189104
223,0.49191445924102234
224,0.4508360395760813
225,0.38903773324024943
226,0.3294784414136062
227,0.2936739350813839
228,0.2934834251824031
229,0.32658691118351485
230,0.3773807789322714
231,0.4229495226070535
232,0.4418325498885123
233,0.4222373940475571
234,0.3665621019634805
235,0.29049932825954244
236,0.21706426195237205
237,0.16782742787814214
238,0.15470104075286617
239,0.17541614456544297
240,0.2144180089812135
241,0.24883765837028732
242,0.25725849334587053
243,0.22792932923254072
244,0.16328662116325882
245,0.07905840663541747
246,0.0017079074795047222
247,0.05741287065863049
248,0.07611874882356462
249,0.06007248566032258
250,0.02481039308807309
251,0.010570789254972623
252,0.021711241798351488
253,0.0033885731062129887
254,0.06266371590233022
255,0.14073897490067935
256,0.2147681650746193
257,0.263128239314656
258,0.27364748499188885
259,0.24822503719510564
260,0.20207732883601057
261,0.1578994193008614
262,0.13717148043727473
263,0.15193116466897535
264,0.2001546216452877
265,0.26651054113961814
266,0.3281992785729659
267,0.3636467825812466
268,0.3607325982015139
269,0.3214091778048941
270,0.2609481207691318
271,0.20210128439950664
272,0.16640704574615717
273,0.165962439995291
274,0.19880394274768734
275,0.24966127482370015
276,0.29579628691044424
277,0.3156966444205799
278,0.2973035870956372
279,0.24263099644301295
280,0.16701139296049994
281,0.09325680661394266
282,0.042964801164978667
283,0.028290378963604867
284,0.0473265344408829
285,0.08485783584390875
286,0.11819909340907944
287,0.1258888351974019
288,0.09591686594970306
289,0.030343142843135246
290,0.055456409140684004
291,0.1386291980526023
292,0.1975401007448705
293,0.21999970632552063
294,0.20788389847780603
295,0.17638039656658988
296,0.14815019685084838
297,0.14463419214684917
298,0.1778256942072554
299,0.24565162461416556
